,Name,Author
201,berlin-um-1940-atom-408e105f,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
202,berlin-um-1940-wms-d812423b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
203,berlin-um-1986-atom-a4dd0a13,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
204,berlin-um-1986-wms-cc8622e1,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
205,berlin-zoom-farbausgabe-wms-99b5a1e4,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
206,berlin-zoom-sw-ausgabe-wms-61032938,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
207,besondere-naturraumliche-eigenart-der-boden-1990-umweltatlas-wms-21adc103,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
208,besondere-naturraumliche-eigenart-der-boden-2010-umweltatlas-wms-68464fcf,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
209,besondere-naturraumliche-eigenart-der-boden-2015-umweltatlas-wms-57863436,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
210,bestand-anlagen-strom-berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe"
211,bestand-windkraftanlagen-berlin,"Senatsverwaltung für Wirtschaft, Energie und Betriebe"
212,besuchszahlen-in-offentlich-geforderten-berliner-kultureinrichtungen-2012-13,Senatskanzlei – Kulturelle Angelegenheiten
213,bevolkerungszahlen-berlin,"Senatsverwaltung für Wirtschaft, Technologie und Forschung"
214,bezirkshaushaltsplan-2018-2019-tempelhof-schoneberg,Bezirksamt Tempelhof-Schöneberg - Finanzservice
215,bezirkshaushaltsplan-friedrichshain-kreuzberg-2012-2013,"Bezirksamt Friedrichshain-Kreuzberg, Finanzservice"
216,bezirkshaushaltsplan-friedrichshain-kreuzberg-2012-2013-fortgeschrieben-mit-ergungsplan-2013,"Bezirksamt Friedrichshain-Kreuzberg, Finanzservice"
217,bezirkshaushaltsplan-friedrichshain-kreuzberg-2014-2015,"Bezirksamt Friedrichshain-Kreuzberg, Finanzservice"
218,bindungsstarke-der-boden-fur-schwermetalle-1990-umweltatlas-wms-33816655,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
219,bindungsstarke-der-boden-fur-schwermetalle-2010-umweltatlas-wms-97143dff,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
220,bindungsstarke-der-boden-fur-schwermetalle-2015-umweltatlas-wms-f088e2c3,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin"
221,bioklima-warmebelastung-in-der-nacht-2005-umweltatlas-atom-9dd82388,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
222,bioklima-warmebelastung-in-der-nacht-2005-umweltatlas-wms-73e8ad0f,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
223,blockkarte-1-50-000-isu50-raumbezug-umweltatlas-1990-wfs-10a84c30,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
